"ROW ID","STATUS","ZONE","ODD_EVEN","ADDRESS RANGE - LOW","ADDRESS RANGE - HIGH","STREET DIRECTION","STREET NAME","STREET TYPE","SECOND STREET DIRECTION","BUFFER","WARD - LOW","WARD - HIGH"
"14497","ACTIVE","1462","E","3414","3444","W","PARKER","AVE",,"N","35","35"
"14496","ACTIVE","1462","O","3413","3443","W","PARKER","AVE",,"N","35","35"
"14482","ACTIVE","100","O","2401","2455","N","ST LOUIS","AVE",,"N","35","35"
"14481","ACTIVE","100","E","2400","2454","N","ST LOUIS","AVE",,"N","35","35"
"14192","ACTIVE","95","O","2901","2997","N","SAWYER","AVE",,"N","35","35"
"14191","ACTIVE","95","E","2900","2998","N","SAWYER","AVE",,"N","35","35"
"13884","ACTIVE","2401","O","2233","2299","N","ST LOUIS","AVE",,"N","35","35"
"13883","ACTIVE","2401","E","2232","2300","N","ST LOUIS","AVE",,"N","35","35"
"13762","ACTIVE","114","O","4101","4159","N","BERNARD","ST",,"N","35","35"
"13761","ACTIVE","114","E","4100","4158","N","BERNARD","ST",,"N","35","35"
"13488","ACTIVE","100","O","2617","2659","N","CENTRAL PARK","AVE",,"N","35","35"
"13487","ACTIVE","100","E","2616","2658","N","CENTRAL PARK","AVE",,"N","35","35"
"13486","ACTIVE","1439","O","3901","3907","W","BELDEN","AVE",,"N","35","35"
"13485","ACTIVE","1439","E","3900","3908","W","BELDEN","AVE",,"N","35","35"
"13299","ACTIVE","100","O","3213","3315","W","DIVERSEY","AVE",,"N","35","35"
"13298","ACTIVE","95","E","3212","3324","W","DIVERSEY","AVE",,"N","35","35"
"12644","ACTIVE","1851","O","3401","3503","N","KEDZIE","AVE",,"N","35","35"
"12592","ACTIVE","1313","E","2100","2156","N","KEELER","AVE",,"N","35","35"
"12591","ACTIVE","100","E","2748","2798","N","SPAULDING","AVE",,"N","35","35"
"12589","ACTIVE","100","O","2747","2799","N","SPAULDING","AVE",,"N","35","35"
"11782","ACTIVE","733","E","4800","4898","N","CENTRAL PARK","AVE",,"N","35","35"
"11753","ACTIVE","100","O","2715","2761","N","SAWYER","AVE",,"N","35","35"
"11752","ACTIVE","100","E","2714","2760","N","SAWYER","AVE",,"N","35","35"
"11624","RESCINDED","1272","E","2100","2198","N","DRAKE","AVE",,"N","35","35"
"11623","RESCINDED","1272","O","2101","2199","N","DRAKE","AVE",,"N","35","35"
"11622","ACTIVE","2139","O","3105","3145","N","CENTRAL PARK","AVE",,"N","35","35"
"11493","ACTIVE","114","O","3901","3999","N","ST LOUIS","AVE",,"N","35","35"
"11492","ACTIVE","114","E","3900","3998","N","ST LOUIS","AVE",,"N","35","35"
"11356","ACTIVE","107","O","4701","4799","N","LAWNDALE","AVE",,"N","35","35"
"11355","ACTIVE","107","E","4700","4798","N","LAWNDALE","AVE",,"N","35","35"
"11096","ACTIVE","114","O","4301","4399","N","HAMLIN","AVE",,"N","35","35"
"11090","ACTIVE","114","E","4300","4398","N","HAMLIN","AVE",,"N","35","35"
"11089","ACTIVE","325","E","2000","2098","N","KEELER","AVE",,"N","35","35"
"11083","ACTIVE","325","O","2001","2099","N","KEELER","AVE",,"N","35","35"
"11020","ACTIVE","325","O","1801","1899","N","TRIPP","AVE",,"N","35","35"
"11019","ACTIVE","325","E","1800","1898","N","TRIPP","AVE",,"N","35","35"
"10617","ACTIVE","114","O","4301","4345","N","RIDGEWAY","AVE",,"N","35","35"
"10616","ACTIVE","114","E","4300","4344","N","RIDGEWAY","AVE",,"N","35","35"
"10587","ACTIVE","325","E","4150","4156","W","BELDEN","AVE",,"N","35","35"
"10581","ACTIVE","114","O","3901","3999","N","DRAKE","AVE",,"N","35","35"
"10577","ACTIVE","114","E","3900","3998","N","DRAKE","AVE",,"N","35","35"
"10503","ACTIVE","33","E","3600","3698","N","CHRISTIANA","AVE",,"N","35","35"
"10502","ACTIVE","95","E","2800","2898","N","CHRISTIANA","AVE",,"N","35","35"
"10501","ACTIVE","95","O","2801","2899","N","CHRISTIANA","AVE",,"N","35","35"
"10388","ACTIVE","95","O","3205","3247","W","GEORGE","ST",,"N","35","35"
"10387","ACTIVE","95","E","3206","3248","W","GEORGE","ST",,"N","35","35"
"10386","ACTIVE","95","O","2801","2999","N","WOODARD","ST",,"N","35","35"
"10384","ACTIVE","95","O","3301","3319","W","GEORGE","ST",,"N","35","35"
"10383","ACTIVE","95","E","3300","3318","W","GEORGE","ST",,"N","35","35"
"10376","ACTIVE","325","O","1801","1853","N","KEDVALE","AVE",,"N","35","35"
"10373","ACTIVE","367","E","2136","2142","N","ST LOUIS","AVE",,"N","35","35"
"10372","ACTIVE","325","E","1800","1854","N","KEDVALE","AVE",,"N","35","35"
"10371","ACTIVE","325","O","1801","1855","N","KILDARE","AVE",,"N","35","35"
"10370","ACTIVE","325","E","1800","1856","N","KILDARE","AVE",,"N","35","35"
"10260","ACTIVE","367","E","2200","2256","N","LAWNDALE","AVE",,"N","35","35"
"10171","ACTIVE","114","O","3401","3499","W","IRVING PARK","RD",,"N","35","35"
"10170","ACTIVE","114","E","3800","3998","N","BERNARD","ST",,"N","35","35"
"10169","ACTIVE","114","O","3801","3999","N","BERNARD","ST",,"N","35","35"
"10166","ACTIVE","107","O","3601","3759","W","LAWRENCE","AVE",,"N","35","35"
"10165","ACTIVE","107","E","3600","3760","W","LAWRENCE","AVE",,"N","35","35"
"9910","ACTIVE","1568","O","3301","3399","N","CENTRAL PARK","AVE",,"N","35","35"
"9812","ACTIVE","325","O","2305","2339","N","KEELER","AVE",,"N","35","35"
"9461","ACTIVE","96","E","2704","2734","N","KEDZIE","AVE",,"N","35","35"
"9382","ACTIVE","1857","O","3707","3753","W","LYNDALE","ST",,"N","35","35"
"9381","ACTIVE","1857","E","3706","3754","W","LYNDALE","ST",,"N","35","35"
"8829","ACTIVE","95","O","2815","2873","N","DAWSON","AVE",,"N","35","35"
"8806","ACTIVE","95","E","2814","2874","N","DAWSON","AVE",,"N","35","35"
"8712","ACTIVE","1820","O","2201","2259","N","KEELER","AVE",,"N","35","35"
"8706","ACTIVE","1820","E","2200","2258","N","KEELER","AVE",,"N","35","35"
"8654","ACTIVE","1813","O","3021","3069","N","CENTRAL PARK","AVE",,"N","35","35"
"8403","ACTIVE","786","E","1802","1808","N","KEYSTONE","AVE",,"N","35","35"
"8293","ACTIVE","95","E","3334","3398","W","BARRY","AVE",,"N","35","35"
"8251","ACTIVE","1687","E","2100","2158","N","KARLOV","AVE",,"N","35","35"
"8183","ACTIVE","1665","O","3501","3599","W","MEDILL","AVE",,"N","35","35"
"8182","ACTIVE","1665","E","3500","3598","W","MEDILL","AVE",,"N","35","35"
"8142","ACTIVE","367","O","2201","2255","N","LAWNDALE","AVE",,"N","35","35"
"8115","ACTIVE","103","O","3501","3539","W","MELROSE","ST",,"N","35","35"
"8114","ACTIVE","103","E","3500","3538","W","MELROSE","ST",,"N","35","35"
"8113","ACTIVE","1694","O","2701","2741","N","RIDGEWAY","AVE",,"N","35","35"
"7923","ACTIVE","1670","O","1801","1855","N","KEELER","AVE",,"N","35","35"
"7922","ACTIVE","1670","E","1802","1854","N","KEELER","AVE",,"N","35","35"
"7762","ACTIVE","1558","O","2701","2749","N","ST LOUIS","AVE",,"N","35","35"
"7761","ACTIVE","1558","E","2700","2748","N","ST LOUIS","AVE",,"N","35","35"
"7760","ACTIVE","95","O","2835","2861","N","DRAKE","AVE",,"N","35","35"
"7759","ACTIVE","95","E","2834","2862","N","DRAKE","AVE",,"N","35","35"
"7750","ACTIVE","325","E","2300","2340","N","KEYSTONE","AVE",,"N","35","35"
"7735","ACTIVE","1648","O","4201","4299","W","DICKENS","AVE",,"N","35","35"
"7734","ACTIVE","1648","E","4200","4298","W","DICKENS","AVE",,"N","35","35"
"7582","RESCINDED","1598","O","2301","2343","N","LAWNDALE","AVE",,"N","35","35"
"7581","RESCINDED","1598","E","2300","2342","N","LAWNDALE","AVE",,"N","35","35"
"7526","ACTIVE","141","O","2901","2909","N","CENTRAL PARK","AVE",,"N","35","35"
"7519","ACTIVE","95","E","3100","3144","N","BERNARD","ST",,"N","35","35"
"7514","ACTIVE","1565","O","4301","4399","W","SHAKESPEARE","AVE",,"N","35","35"
"7496","ACTIVE","1544","O","3517","3551","W","WOLFRAM","ST",,"N","35","35"
"7495","ACTIVE","1544","E","3518","3550","W","WOLFRAM","ST",,"N","35","35"
"7459","ACTIVE","33","O","3701","3755","N","DRAKE","AVE",,"N","35","35"
"7458","ACTIVE","33","E","3700","3756","N","DRAKE","AVE",,"N","35","35"
"7302","ACTIVE","95","O","3101","3145","N","BERNARD","ST",,"N","35","35"
"7262","ACTIVE","1566","O","1925","1943","N","KEDVALE","AVE",,"N","35","35"
"7261","ACTIVE","1566","E","1900","1942","N","KEDVALE","AVE",,"N","35","35"
"7260","ACTIVE","1565","E","4300","4398","W","SHAKESPEARE","AVE",,"N","35","35"
"7144","ACTIVE","1462","O","3401","3445","W","SCHUBERT","AVE",,"N","35","35"
"7143","ACTIVE","100","O","3301","3335","W","SCHUBERT","AVE",,"N","35","35"
"7136","ACTIVE","100","E","2400","2550","N","SAWYER","AVE",,"N","35","35"
"7124","ACTIVE","146","O","4805","4857","N","AVERS","AVE",,"N","35","35"
"7066","ACTIVE","107","E","3650","3656","W","SUNNYSIDE","AVE",,"N","35","35"
"7065","ACTIVE","107","O","3601","3609","W","SUNNYSIDE","AVE",,"N","35","35"
"7031","ACTIVE","113","O","4749","4753","N","SPRINGFIELD","AVE",,"N","35","35"
"7030","ACTIVE","113","O","4601","4655","N","SPRINGFIELD","AVE",,"N","35","35"
"6934","ACTIVE","113","E","3900","3942","W","LAWRENCE","AVE",,"N","35","35"
"6925","ACTIVE","107","E","3700","3756","W","SUNNYSIDE","AVE",,"N","35","35"
"6801","ACTIVE","103","E","3500","3516","W","SCHOOL","ST",,"N","35","35"
"6789","ACTIVE","95","E","3100","3146","N","SPAULDING","AVE",,"N","35","35"
"6788","ACTIVE","100","O","2601","2699","N","SPAULDING","AVE",,"N","35","35"
"6757","ACTIVE","114","O","3507","3523","W","IRVING PARK","RD",,"N","35","35"
"6752","ACTIVE","146","E","4806","4858","N","HAMLIN","AVE",,"N","35","35"
"6729","ACTIVE","113","E","4700","4742","N","SPRINGFIELD","AVE",,"N","35","35"
"6726","ACTIVE","367","O","2301","2341","N","SPRINGFIELD","AVE",,"N","35","35"
"6720","ACTIVE","95","O","3001","3057","N","SPAULDING","AVE",,"N","35","35"
"6719","ACTIVE","95","O","2901","2999","N","SPAULDING","AVE",,"N","35","35"
"6718","ACTIVE","95","E","2800","2898","N","SPAULDING","AVE",,"N","35","35"
"6717","ACTIVE","100","O","2501","2599","N","SPAULDING","AVE",,"N","35","35"
"6574","ACTIVE","1321","O","2201","2299","N","TRIPP","AVE",,"N","35","35"
"6573","ACTIVE","1408","O","2101","2199","N","TRIPP","AVE",,"N","35","35"
"6572","ACTIVE","1409","O","2001","2099","N","TRIPP","AVE",,"N","35","35"
"6571","ACTIVE","839","O","1901","1959","N","TRIPP","AVE",,"N","35","35"
"6498","ACTIVE","103","E","3404","3440","W","SCHOOL","ST",,"N","35","35"
"6424","ACTIVE","1508","O","2109","2155","N","KILDARE","AVE",,"N","35","35"
"6423","ACTIVE","1508","E","2108","2154","N","KILDARE","AVE",,"N","35","35"
"6376","ACTIVE","95","E","3100","3146","N","SAWYER","AVE",,"N","35","35"
"6343","ACTIVE","113","E","4700","4744","N","HARDING","AVE",,"N","35","35"
"6321","ACTIVE","95","E","2800","2898","N","SAWYER","AVE",,"N","35","35"
"6320","ACTIVE","95","O","2801","2899","N","SAWYER","AVE",,"N","35","35"
"6128","ACTIVE","107","O","3723","3755","W","WINDSOR","AVE",,"N","35","35"
"6111","ACTIVE","100","O","3301","3321","W","WRIGHTWOOD","AVE",,"N","35","35"
"6050","ACTIVE","1240","O","2201","2299","N","MONTICELLO","AVE",,"N","35","35"
"6024","ACTIVE","1100","O","2201","2299","N","LOWELL","AVE",,"N","35","35"
"5992","ACTIVE","113","E","3804","3806","W","LELAND","AVE",,"N","35","35"
"5967","ACTIVE","107","O","3701","3755","W","WILSON","AVE",,"N","35","35"
"5953","ACTIVE","107","O","4415","4459","N","MONTICELLO","AVE",,"N","35","35"
"5952","ACTIVE","146","O","4815","4859","N","MONTICELLO","AVE",,"N","35","35"
"5951","ACTIVE","107","O","4501","4557","N","MONTICELLO","AVE",,"N","35","35"
"5949","ACTIVE","367","E","2300","2344","N","MONTICELLO","AVE",,"N","35","35"
"5929","ACTIVE","367","O","3401","3441","W","MEDILL","AVE",,"N","35","35"
"5876","ACTIVE","113","E","3850","3854","W","LELAND","AVE",,"N","35","35"
"5868","ACTIVE","146","O","4801","4899","N","LAWNDALE","AVE",,"N","35","35"
"5867","ACTIVE","107","O","4501","4599","N","LAWNDALE","AVE",,"N","35","35"
"5837","ACTIVE","925","O","3701","3799","W","PALMER","ST",,"N","35","35"
"5812","ACTIVE","103","O","3401","3499","W","MELROSE","ST",,"N","35","35"
"5784","ACTIVE","239","O","3401","3449","W","LYNDALE","ST",,"N","35","35"
"5777","ACTIVE","1207","E","1800","1898","N","LOWELL","AVE",,"N","35","35"
"5774","ACTIVE","856","E","1900","1942","N","LOWELL","AVE",,"N","35","35"
"5769","ACTIVE","107","O","4401","4499","N","LAWNDALE","AVE",,"N","35","35"
"5764","ACTIVE","93","O","2701","2743","N","LAWNDALE","AVE",,"N","35","35"
"5763","ACTIVE","95","O","2859","2999","N","DAWSON","AVE",,"N","35","35"
"5762","ACTIVE","95","E","2906","2952","N","DAWSON","AVE",,"N","35","35"
"5579","ACTIVE","1018","O","4301","4399","W","MCLEAN","AVE",,"N","35","35"
"5547","ACTIVE","1405","O","2901","2999","N","WISNER","AVE",,"N","35","35"
"5513","ACTIVE","1023","O","2201","2259","N","KILDARE","AVE",,"N","35","35"
"5512","ACTIVE","837","O","2001","2059","N","KILDARE","AVE",,"N","35","35"
"5500","ACTIVE","325","O","2301","2343","N","KARLOV","AVE",,"N","35","35"
"5499","ACTIVE","1407","O","2201","2299","N","KARLOV","AVE",,"N","35","35"
"5496","ACTIVE","896","O","1901","1999","N","KARLOV","AVE",,"N","35","35"
"5460","ACTIVE","103","O","3537","3599","W","HENDERSON","ST",,"N","35","35"
"5431","ACTIVE","113","O","4601","4657","N","HARDING","AVE",,"N","35","35"
"5382","ACTIVE","755","O","1901","1947","N","KILDARE","AVE",,"N","35","35"
"5352","ACTIVE","95","E","3000","3056","N","KIMBALL","AVE",,"N","35","35"
"5333","ACTIVE","113","O","4501","4559","N","HARDING","AVE",,"N","35","35"
"5321","ACTIVE","95","O","3001","3095","N","GRESHAM","AVE",,"N","35","35"
"5295","ACTIVE","107","O","3715","3757","W","GIDDINGS","ST",,"N","35","35"
"5252","ACTIVE","95","E","3100","3146","N","KIMBALL","AVE",,"N","35","35"
"5212","ACTIVE","95","O","2915","2965","N","GRESHAM","AVE",,"N","35","35"
"5178","RESCINDED","1478","E","2704","2732","N","KEDZIE","AVE",,"N","35","35"
"5159","ACTIVE","1363","O","2201","2299","N","KEYSTONE","AVE",,"N","35","35"
